Date,Description,Amount,Running Bal.,
2024-02-07,SQ *MATTO APP 02/06 PURCHASE gosq.com NY,-15,271.93,
2024-02-08,KARAKATTA 02/06 MOBILE PURCHASE NEW YORK NY,-25.7,246.23,
2024-02-08,SQ *295 GROVE ST 02/07 MOBILE PURCHASE Jersey City NJ,-5,241.23,
2024-02-08,SQ *FOGON-MEXICAN-PERUV 02/07 MOBILE PURCHASE New York NY,-14.13,227.1,
2024-02-09,SQ *295 GROVE ST 02/08 MOBILE PURCHASE Jersey City NJ,-5,222.1,
2024-02-09,APPLE.COM/BILL 02/08 PURCHASE 866-712-7753 CA,-21.31,200.79,
2024-02-09,SQ *295 GROVE ST 02/08 MOBILE PURCHASE Jersey City NJ,-4.75,196.04,
2024-02-09,SQ *MATTO APP 02/08 PURCHASE gosq.com NY,-10,186.04,
2024-02-09,SQ *COLOMBA BAKERY 02/08 MOBILE PURCHASE New York NY,-17.96,168.08,
2024-02-09,MCDONALD'S F10407 02/08 MOBILE PURCHASE NEW YORK NY,-4.13,163.95,
2024-02-09,ANDY'S DELI 02/09 MOBILE PURCHASE NEW YORK NY,-6,157.95,
2024-02-12,Online Banking transfer from SAV 0485 Confirmation# XXXXX23840,500,657.95,
2024-02-12,SWEETGREEN ASTOR PLACE 02/09 MOBILE PURCHASE NEW YORK NY,-15.94,642.01,
2024-02-12,MACHI MACHI (KIOSK) 02/09 MOBILE PURCHASE XXX-XX305592 IL,-7.68,634.33,
2024-02-12,MTA*NYCT PAYGO 02/09 MOBILE PURCHASE NEW YORK NY,-2.9,631.43,
2024-02-12,SQ *5IVE SPICE 02/10 MOBILE PURCHASE New York NY,-40.91,590.52,
2024-02-12,MTA*PATH SMART 02/10 PURCHASE NEW YORK NY,-26,564.52,
2024-02-12,SQ *295 GROVE ST 02/11 MOBILE PURCHASE Jersey City NJ,-5,559.52,
2024-02-12,STAPLES 1106 02/12 MOBILE PURCHASE NEW YORK NY,-6.52,553,
2024-02-13,McDonalds 13654 02/11 PURCHASE JERSEY CITY NJ,-11.4,541.6,
2024-02-13,VERIZON*RECURRING PAY 02/12 PURCHASE 800-VERIZON FL,-89.99,451.61,
2024-02-13,SQ *295 GROVE ST 02/12 MOBILE PURCHASE Jersey City NJ,-5,446.61,
2024-02-13,SQ *FEFO FOOD NY 02/12 MOBILE PURCHASE New York NY,-6.78,439.83,
2024-02-13,Duane Reade ST 02/12 MOBILE PURCHASE JERSEY CITY NJ,-2.99,436.84,
2024-02-14,SQ *295 GROVE ST 02/13 MOBILE PURCHASE Jersey City NJ,-5,431.84,
2024-02-15,SQ *295 GROVE ST 02/14 MOBILE PURCHASE Jersey City NJ,-5,426.84,
2024-02-15,SQ *THINK COFFEE MERCER 02/14 MOBILE PURCHASE New York NY,-6.53,420.31,
2024-02-15,Subway 1859 02/14 MOBILE PURCHASE New York NY,-8.37,411.94,
2024-02-15,Duane Reade ST 02/15 MOBILE PURCHASE JERSEY CITY NJ,-1.99,409.95,
2024-02-16,SQ *THINK COFFEE MERCER 02/15 MOBILE PURCHASE New York NY,-6.53,403.42,
2024-02-16,CMSVEND*CV AVENEL 02/15 PURCHASE AVENEL NJ,-2.5,400.92,
2024-02-16,Subway 1859 02/16 MOBILE PURCHASE New York NY,-9.68,391.24,
2024-02-20,SQ *295 GROVE ST 02/16 MOBILE PURCHASE Jersey City NJ,-5,386.24,
2024-02-20,FLIX 02/16 PURCHASE XXX-XX37631 TX,-58.97,327.27,
2024-02-20,STARBUCKS STORE 09722 02/16 MOBILE PURCHASE NEW YORK NY,-14.37,312.9,
2024-02-20,HI BOSTON HOSTEL 139-22 02/16 MOBILE PURCHASE BOSTON MA,-62.89,250.01,
2024-02-20,TST* PAVEMENT COFFEEHOU 02/17 MOBILE PURCHASE Boston MA,-10.44,239.57,
2024-02-20,TBAAR (BROOKLINE) 02/17 MOBILE PURCHASE XXX-XX305592 IL,-6.96,232.61,
2024-02-20,TST* VICTORIA SEAFOOD 02/18 MOBILE PURCHASE Boston MA,-23.22,209.39,
2024-02-20,FLIX 02/18 PURCHASE XXX-XX37631 TX,-72.98,136.41,
2024-02-20,TST* YOKI MEDFORD 02/18 MOBILE PURCHASE MEDFORD MA,-21.19,115.22,
2024-02-20,HI BOSTON HOSTEL 139-22 02/18 PURCHASE BOSTON MA,-59.4,55.82,
2024-02-20,HI BOSTON HOSTEL 139-22 02/18 MOBILE PURCHASE BOSTON MA,-1.5,54.32,
2024-02-20,GREAT 101 BAKERY 02/19 PURCHASE BOSTON MA,-11.5,42.82,
2024-02-20,SQ *295 GROVE ST 02/19 MOBILE PURCHASE Jersey City NJ,-5,37.82,
2024-02-21,SQ *295 GROVE ST 02/20 MOBILE PURCHASE Jersey City NJ,-5,32.82,
2024-02-21,SQ *MATTO APP 02/20 PURCHASE gosq.com NY,-10,22.82,
2024-02-21,Subway 1859 02/21 MOBILE PURCHASE New York NY,-8.37,14.45,
2024-02-21,Monthly Maintenance Fee,-12,2.45,
2024-02-22,SQ *295 GROVE ST 02/21 MOBILE PURCHASE Jersey City NJ,-5,-2.55,
2024-02-22,LinkedIn XXXXX38624 02/21 PURCHASE XXX-XX35653 CA,-20,-22.55,
2024-02-22,OVERDRAFT ITEM FEE FOR ACTIVITY OF 02-22 ELECTRONIC TRANSACTION POSTING DATE 02-22-24 POSTING SEQ 00002,-10,-32.55,
2024-02-26,Online Banking transfer from SAV 0485 Confirmation# XXXXX40470,500,467.45,
2024-02-26,NEW DOWNTOWN LAUNDROMAT 02/24 MOBILE PURCHASE JERSEY CITY NJ,-30,437.45,
2024-02-26,TEN REN TEA AND GINSENG 02/24 MOBILE PURCHASE NEW YORK NY,-6.5,430.95,
2024-02-26,SQ *295 GROVE ST 02/25 MOBILE PURCHASE Jersey City NJ,-5,425.95,
2024-02-27,SQ *295 GROVE ST 02/26 MOBILE PURCHASE Jersey City NJ,-5,420.95,
2024-02-28,SQ *MATTO APP 02/27 PURCHASE gosq.com NY,-10,410.95,
2024-02-29,SQ *295 GROVE ST 02/28 MOBILE PURCHASE Jersey City NJ,-4.5,406.45,
2024-03-01,SWEETGREEN ASTOR PLACE 02/28 MOBILE PURCHASE NEW YORK NY,-16.51,389.94,
2024-03-01,SQ *295 GROVE ST 02/29 MOBILE PURCHASE Jersey City NJ,-5,384.94,
2024-03-01,Subway 1859 02/29 MOBILE PURCHASE New York NY,-13.77,371.17,
2024-03-04,SQ *295 GROVE ST 03/01 MOBILE PURCHASE Jersey City NJ,-4.5,366.67,
2024-03-04,SQ *295 GROVE ST 03/02 MOBILE PURCHASE Jersey City NJ,-4.5,362.17,
2024-03-04,SQ *295 GROVE ST 03/02 MOBILE PURCHASE Jersey City NJ,-4,358.17,
2024-03-04,SQ *295 GROVE ST 03/03 MOBILE PURCHASE Jersey City NJ,-4.5,353.67,
2024-03-04,Zelle payment to KONGJIAN WANG for From Calvin: Thanks," Jasper! :)""; Conf# of47czexx""",-40.3,313.37
2024-03-05,AMAZON GROCE*RN13U98Q0 03/03 PURCHASE SEATTLE WA,-152.18,161.19,
2024-03-05,SQ *295 GROVE ST 03/04 MOBILE PURCHASE Jersey City NJ,-4.5,156.69,
2024-03-05,DOWNTOWN PHARMACY 03/04 MOBILE PURCHASE JERSEY CITY NJ,-10.42,146.27,
2024-03-06,APPLE.COM/BILL 03/04 PURCHASE 866-712-7753 CA,-1.06,145.21,
2024-03-06,SQ *295 GROVE ST 03/05 MOBILE PURCHASE JERSEY CITY NJ,-4.5,140.71,
2024-03-06,AMZN MKTP US*RZ2BS5D61 03/05 PURCHASE SEATTLE WA,-23.87,116.84,
2024-03-06,AMAZON TIPS*RN4C094Z2 03/05 PURCHASE SEATTLE WA,-5,111.84,
2024-03-06,NYU HEALTH CTR 03/06 MOBILE PURCHASE NEW YORK NY,-51.9,59.94,
2024-03-07,B 18 COFFEE 03/05 MOBILE PURCHASE JERSEY CITY NJ,-7.62,52.32,
2024-03-07,SQ *295 GROVE ST 03/06 MOBILE PURCHASE Jersey City NJ,-4.5,47.82,
2024-03-07,SQ *MATTO APP 03/06 PURCHASE gosq.com NY,-10,37.82,
2024-03-07,CMSVEND*CV AVENEL 03/06 PURCHASE AVENEL NJ,-2.5,35.32,
2024-03-07,Subway 1859 03/06 MOBILE PURCHASE New York NY,-8.37,26.95,
2024-03-07,Duane Reade ST 03/06 MOBILE PURCHASE JERSEY CITY NJ,-1.99,24.96,
2024-03-07,NYU HEALTH CTR 03/07 MOBILE PURCHASE NEW YORK NY,-15,9.96,
2024-03-08,Online Banking transfer from SAV 0485 Confirmation# XXXXX05647,500,509.96,
2024-03-08,SQ *THINK COFFEE MERCER 03/07 MOBILE PURCHASE New York NY,-5.67,504.29,
2024-03-08,CANTEEN VENDING 03/07 PURCHASE AVENEL NJ,-2.5,501.79,
2024-03-11,SQ *295 GROVE ST 03/09 MOBILE PURCHASE Jersey City NJ,-5,496.79,
2024-03-11,CMSVEND*CV AVENEL 03/09 MOBILE PURCHASE AVENEL NJ,-1.5,495.29,
2024-03-11,RAMEN TAKUMI 03/09 MOBILE PURCHASE NEW YORK NY,-25.7,469.59,
2024-03-11,SQ *295 GROVE ST 03/10 MOBILE PURCHASE Jersey City NJ,-4.5,465.09,
2024-03-11,SQ *295 GROVE ST 03/10 MOBILE PURCHASE Jersey City NJ,-4.75,460.34,
2024-03-11,MTA*PATH SMART 03/10 PURCHASE NEW YORK NY,-26,434.34,
2024-03-11,SQ *MATTO APP 03/10 PURCHASE gosq.com NY,-10,424.34,
2024-03-11,SQ *SHAKE SHACK 03/10 MOBILE PURCHASE Jersey City NJ,-15.83,408.51,
2024-03-12,McDonalds 13654 03/10 PURCHASE JERSEY CITY NJ,-6.39,402.12,
2024-03-12,SQ *295 GROVE ST 03/11 MOBILE PURCHASE Jersey City NJ,-5.5,396.62,
2024-03-12,SQ *THINK COFFEE MERCER 03/11 MOBILE PURCHASE New York NY,-4.9,391.72,
2024-03-13,SWEETGREEN ASTOR PLACE 03/11 MOBILE PURCHASE NEW YORK NY,-16.82,374.9,
2024-03-13,VZWRLSS*APOCC VISN 03/12 PURCHASE 800-922-0204 FL,-179.22,195.68,
2024-03-13,APPLE.COM/BILL 03/12 PURCHASE 866-712-7753 CA,-21.31,174.37,
2024-03-13,SQ *THINK COFFEE MERCER 03/12 MOBILE PURCHASE New York NY,-4.08,170.29,
2024-03-13,Zelle payment to FENGMING JIANG Conf# kx03moijm,-12,158.29,
2024-03-13,Zelle payment to FENGMING JIANG Conf# n7mtpr994,-1,157.29,
2024-03-14,Online Banking transfer from SAV 0485 Confirmation# XXXXX61515,500,657.29,
2024-03-14,MTA*NYCT PAYGO 03/12 MOBILE PURCHASE NEW YORK NY,-2.9,654.39,
2024-03-14,TST* FRESH & CO - 729 B 03/12 MOBILE PURCHASE NEW YORK NY,-14.43,639.96,
2024-03-14,McDonalds 13654 03/12 PURCHASE JERSEY CITY NJ,-16.51,623.45,
2024-03-14,SQ *295 GROVE ST 03/13 MOBILE PURCHASE Jersey City NJ,-5,618.45,
2024-03-14,SQ *SHAKE SHACK 03/13 MOBILE PURCHASE Jersey City NJ,-7.99,610.46,
2024-03-15,MTA*NYCT PAYGO 03/13 MOBILE PURCHASE NEW YORK NY,-2.9,607.56,
2024-03-15,SWEETGREEN ASTOR PLACE 03/13 MOBILE PURCHASE NEW YORK NY,-16.28,591.28,
2024-03-15,SQ *295 GROVE ST 03/14 MOBILE PURCHASE JERSEY CITY NJ,-4.5,586.78,
2024-03-15,KARAKATTA 03/14 MOBILE PURCHASE NEW YORK NY,-48.82,537.96,
2024-03-15,Duane Reade ST 03/14 MOBILE PURCHASE JERSEY CITY NJ,-1.99,535.97,
2024-03-15,Zelle payment to BOLIN XIAO for Amazon fresh," thx""; Conf# nwulz2x8g""",-18.5,517.47
2024-03-18,TST* FRESH & CO - 729 B 03/14 MOBILE PURCHASE NEW YORK NY,-14.43,503.04,
2024-03-18,SQ *295 GROVE ST 03/15 MOBILE PURCHASE Jersey City NJ,-10,493.04,
2024-03-18,SWEETGREEN ASTOR PLACE 03/15 MOBILE PURCHASE NEW YORK NY,-15.73,477.31,
2024-03-18,WWW.SWEETGREEN.COM 03/15 PURCHASE HTTPSWWW.SWEE CA,-15.73,461.58,
2024-03-18,SQ *CAFE LYRIA 03/16 MOBILE PURCHASE New York NY,-5.99,455.59,
2024-03-18,TST* BOTANICA BAR 03/16 MOBILE PURCHASE NEW YORK NY,-14.38,441.21,
2024-03-18,SQ *SHAKE SHACK 03/16 MOBILE PURCHASE Jersey City NJ,-21.29,419.92,
2024-03-18,SQ *295 GROVE ST 03/17 MOBILE PURCHASE Jersey City NJ,-5,414.92,
2024-03-18,SQ *295 GROVE ST 03/17 MOBILE PURCHASE Jersey City NJ,-4.75,410.17,
2024-03-18,"Zelle payment to Zihao Wang for FIOS""; Conf# l7mhyrouk""",-30,380.17,
2024-03-18,"Zelle payment to Zihao Wang for PSEG Feb""; Conf# koc0p0vqk""",-297.02,83.15,
2024-03-19,SQ *295 GROVE ST 03/18 MOBILE PURCHASE Jersey City NJ,-5,78.15,
2024-03-19,SQ *295 GROVE ST 03/18 MOBILE PURCHASE Jersey City NJ,-4.75,73.4,
2024-03-19,STARBUCKS 07403 03/18 MOBILE PURCHASE NEW YORK NY,-8.11,65.29,
2024-03-20,Online Banking transfer from SAV 0485 Confirmation# XXXXX07045,400,465.29,
2024-03-20,TST* FRIEDMANS - HELLS 03/18 PURCHASE New York NY,-63.44,401.85,
2024-03-21,Duane Reade ST 03/20 MOBILE PURCHASE JERSEY CITY NJ,-11.26,390.59,
2024-03-21,Monthly Maintenance Fee,-12,378.59,
2024-03-22,SALEM HALAL MEAT&GROCER 03/21 MOBILE PURCHASE JERSEY CITY NJ,-1.66,376.93,
2024-03-22,SQ *295 GROVE ST 03/21 MOBILE PURCHASE Jersey City NJ,-4.5,372.43,
2024-03-22,SQ *MATTO APP 03/21 PURCHASE gosq.com NY,-10,362.43,
2024-03-22,LinkedIn Pre XXXXX28855 03/21 PURCHASE XXX-XX35653 CA,-39.99,322.44,
2024-03-22,Subway 1859 03/22 MOBILE PURCHASE New York NY,-9.68,312.76,
2024-03-22,Duane Reade ST 03/22 MOBILE PURCHASE JERSEY CITY NJ,-4.49,308.27,
2024-03-25,TST* FRESH & CO - 729 B 03/21 MOBILE PURCHASE NEW YORK NY,-14.98,293.29,
2024-03-25,SQ *295 GROVE ST 03/22 MOBILE PURCHASE Jersey City NJ,-5.5,287.79,
2024-03-25,TST* FRESH & CO - 729 B 03/22 MOBILE PURCHASE NEW YORK NY,-14.95,272.84,
2024-03-25,Muji - Cooper Square 03/22 MOBILE PURCHASE NEW YORK NY,-6.9,265.94,
2024-03-25,NYU BOOKSTORE #2015 03/22 MOBILE PURCHASE NEW YORK NY,-3.04,262.9,
2024-03-25,NYU BOOKSTORE #2015 03/22 MOBILE PURCHASE NEW YORK NY,-10.83,252.07,
2024-03-25,AMAZON RET* XXX-XX3255 03/22 PURCHASE WWW.AMAZON.CO WA,-6.34,245.73,
2024-03-25,KARAKATTA 03/22 PURCHASE NEW YORK NY,-28.74,216.99,
2024-03-25,SQ *295 GROVE ST 03/23 MOBILE PURCHASE Jersey City NJ,-4.5,212.49,
2024-03-25,OPENAI 03/23 PURCHASE HTTPSOPENAI.C CA,-10,202.49,
2024-03-25,MTA*NYCT PAYGO 03/24 MOBILE PURCHASE NEW YORK NY,-2.9,199.59,
2024-03-25,"Zelle payment to ANASTASIA HUTNICK for From Calvin""; Conf# rqnozcxkc""",-31.37,168.22,
2024-03-25,SQ *OASIS CAFE 03/24 MOBILE PURCHASE New York NY,-5.84,162.38,
2024-03-25,MTA*NYCT PAYGO 03/24 MOBILE PURCHASE NEW YORK NY,-2.9,159.48,
2024-03-26,Online Banking transfer from SAV 0485 Confirmation# XXXXX59100,"2,387.57","2,547.05",
2024-03-26,Online scheduled transfer from SAV 0485 Confirmation# XXXXX45325,500,"3,047.05",
2024-03-26,SQ *295 GROVE ST 03/25 MOBILE PURCHASE Jersey City NJ,-5.5,"3,041.55",
2024-03-26,"Zelle payment to Jialin Gan for From Calvin""; Conf# m00n1bg9t""",-255.23,"2,786.32",
2024-03-27,AMAZON GROCE*RA6RS1AP2 03/25 PURCHASE SEATTLE WA,-82.5,"2,703.82",
2024-03-27,AMZN MKTP US*RH72C1DY1 03/26 PURCHASE SEATTLE WA,-10.65,"2,693.17",
2024-03-27,AMZN MKTP US*RH3TL2SL1 03/26 PURCHASE SEATTLE WA,-14.92,"2,678.25",
2024-03-27,SQ *295 GROVE ST 03/26 MOBILE PURCHASE Jersey City NJ,-6.5,"2,671.75",
2024-03-27,WEST 9TH FINEST DELI LL 03/26 MOBILE PURCHASE NEW YORK NY,-1.99,"2,669.76",
2024-03-28,AMZN MKTP US*LU1738BK3 03/26 PURCHASE SEATTLE WA,-31.44,"2,638.32",
2024-03-28,TST* FRESH & CO - 729 B 03/26 MOBILE PURCHASE NEW YORK NY,-13.23,"2,625.09",
2024-03-28,AMAZON TIPS*N35G801L3 03/27 PURCHASE SEATTLE WA,-5,"2,620.09",
2024-03-28,AMAZON RET* XXX-XX4633 03/27 PURCHASE WWW.AMAZON.CO WA,-10.51,"2,609.58",
2024-03-28,SQ *295 GROVE ST 03/27 MOBILE PURCHASE Jersey City NJ,-4.5,"2,605.08",
2024-03-28,SQ *THINK COFFEE MERCER 03/27 MOBILE PURCHASE New York NY,-5.72,"2,599.36",
2024-03-28,Online Banking transfer to SAV 0485 Confirmation# XXXXX30716,-15,"2,584.36",
2024-03-28,Bank of America Credit Card Bill Payment,-35,"2,549.36",
2024-03-29,TST* FRESH & CO - 729 B 03/27 MOBILE PURCHASE NEW YORK NY,-15.98,"2,533.38",
2024-03-29,NYU STARBUCKS CAFE 03/27 MOBILE PURCHASE NEW YORK NY,-4.3,"2,529.08",
2024-03-29,HEAVENLY MARKET & CAFE 03/27 MOBILE PURCHASE NEW YORK NY,-5.78,"2,523.30",
2024-03-29,SQ *295 GROVE ST 03/28 MOBILE PURCHASE Jersey City NJ,-5,"2,518.30",
2024-03-29,WEST 9TH FINEST DELI LL 03/28 MOBILE PURCHASE NEW YORK NY,-1.3,"2,517.00",
2024-03-29,SQ *MATTO APP 03/28 PURCHASE gosq.com NY,-10,"2,507.00",
2024-03-29,Subway 1859 03/28 MOBILE PURCHASE New York NY,-9.68,"2,497.32",
2024-03-29,Duane Reade ST 03/28 MOBILE PURCHASE JERSEY CITY NJ,-2.69,"2,494.63",
2024-03-29,MTA*PATH SMART 03/29 PURCHASE NEW YORK NY,-26,"2,468.63",
2024-04-01,TST* FRESH & CO - 729 B 03/28 MOBILE PURCHASE NEW YORK NY,-13.47,"2,455.16",
2024-04-01,RUI TEA 03/28 MOBILE PURCHASE XXX-XX305592 IL,-6.5,"2,448.66",
2024-04-01,SQ *295 GROVE ST 03/29 MOBILE PURCHASE Jersey City NJ,-5.5,"2,443.16",
2024-04-01,SALEM HALAL MEAT&GROCER 03/29 MOBILE PURCHASE JERSEY CITY NJ,-1.11,"2,442.05",
2024-04-01,SQ *MATTO APP 03/29 PURCHASE gosq.com NY,-10,"2,432.05",
2024-04-01,SQ *295 GROVE ST 03/30 MOBILE PURCHASE Jersey City NJ,-5,"2,427.05",
2024-04-01,SQ *295 GROVE ST 03/30 MOBILE PURCHASE Jersey City NJ,-4.75,"2,422.30",
2024-04-01,SQ *SHAKE SHACK 03/30 MOBILE PURCHASE New York NY,-23.43,"2,398.87",
2024-04-01,SQ *295 GROVE ST 03/31 MOBILE PURCHASE Jersey City NJ,-5.5,"2,393.37",
2024-04-02,SQ *295 GROVE ST 04/01 MOBILE PURCHASE Jersey City NJ,-7.5,"2,385.87",
2024-04-02,AMZN Mktp US*RA7CD2D01 04/01 PURCHASE Amzn.com/bill WA,-6.98,"2,378.89",
2024-04-03,AMZN Mktp US*RA3OM8221 04/01 PURCHASE Amzn.com/bill WA,-13.91,"2,364.98",
2024-04-03,SQ *295 GROVE ST 04/02 MOBILE PURCHASE Jersey City NJ,-9,"2,355.98",
2024-04-03,CMSVEND*CV AVENEL 04/02 MOBILE PURCHASE AVENEL NJ,-3,"2,352.98",
2024-04-03,Subway 1859 04/02 MOBILE PURCHASE New York NY,-8.37,"2,344.61",
2024-04-04,TST* FRESH & CO - 729 B 04/02 MOBILE PURCHASE NEW YORK NY,-15.19,"2,329.42",
2024-04-04,APPLE.COM/BILL 04/03 PURCHASE 866-712-7753 CA,-1.06,"2,328.36",
2024-04-04,SQ *295 GROVE ST 04/03 MOBILE PURCHASE Jersey City NJ,-6.5,"2,321.86",
2024-04-05,TST* FRESH & CO - 729 B 04/03 MOBILE PURCHASE NEW YORK NY,-15.12,"2,306.74",
2024-04-05,TST* FRESH & CO - 729 B 04/03 MOBILE PURCHASE NEW YORK NY,-13.53,"2,293.21",
2024-04-05,SQ *MATTO APP 04/04 PURCHASE gosq.com NY,-10,"2,283.21",
2024-04-05,AMAZON GROCE*1A1KW1DU3 04/03 PURCHASE SEATTLE WA,-101.62,"2,181.59",
2024-04-05,SQ *MATTO APP 04/04 PURCHASE gosq.com NY,-10,"2,171.59",
2024-04-08,Online Banking transfer from SAV 0485 Confirmation# XXXXX60257,"1,000.00","3,171.59",
2024-04-08,TST* FRESH & CO - 729 B 04/04 MOBILE PURCHASE NEW YORK NY,-15.12,"3,156.47",
2024-04-08,AMAZON TIPS*895K305M3 04/05 PURCHASE SEATTLE WA,-5,"3,151.47",
2024-04-08,SQ *295 GROVE ST 04/05 MOBILE PURCHASE Jersey City NJ,-4.5,"3,146.97",
2024-04-08,MTA*NYCT PAYGO 04/06 MOBILE PURCHASE NEW YORK NY,-2.9,"3,144.07",
2024-04-08,SQ *295 GROVE ST 04/07 MOBILE PURCHASE Jersey City NJ,-4,"3,140.07",
2024-04-08,TST* GREGORY'S COFFEE - 04/07 MOBILE PURCHASE JERSEY CITY NJ,-5.28,"3,134.79",
2024-04-08,Duane Reade ST 04/07 MOBILE PURCHASE JERSEY CITY NJ,-4.79,"3,130.00",
2024-04-08,APPLE COM BILL 04/08 PURCHASE CUPERTINO CA,-21.31,"3,108.69",
2024-04-09,SQ *295 GROVE ST 04/08 MOBILE PURCHASE Jersey City NJ,-4,"3,104.69",
2024-04-09,YSI*Grand LHN II Urban 04/08 PURCHASE XXX-XX08603 NJ,"-2,013.45","1,091.24",
2024-04-10,CANTEEN VENDING 04/09 MOBILE PURCHASE AVENEL NJ,-2.5,"1,088.74",
2024-04-10,MTA*PATH SMART 04/10 PURCHASE NEW YORK NY,-26,"1,062.74",
2024-04-11,TST* FRESH & CO - 729 B 04/09 MOBILE PURCHASE NEW YORK NY,-13.47,"1,049.27",
2024-04-11,TST* JOE COFFEE - LAGUA 04/09 MOBILE PURCHASE NEW YORK NY,-6.5,"1,042.77",
2024-04-11,SQ *295 GROVE ST 04/10 MOBILE PURCHASE Jersey City NJ,-5,"1,037.77",
2024-04-12,Zelle payment to KEVIN CHAN Conf# or9ths05u,-20,"1,017.77",
2024-04-15,TST* FRESH & CO - 729 B 04/11 MOBILE PURCHASE NEW YORK NY,-13.47,"1,004.30",
2024-04-15,TST* FRESH & CO - 729 B 04/11 MOBILE PURCHASE NEW YORK NY,-13.47,990.83,
2024-04-15,VZWRLSS*APOCC VISN 04/12 PURCHASE 800-922-0204 FL,-179.22,811.61,
2024-04-15,SQ *295 GROVE ST 04/12 MOBILE PURCHASE Jersey City NJ,-9.25,802.36,
2024-04-15,TST* FRESH & CO - 729 B 04/12 MOBILE PURCHASE NEW YORK NY,-13.47,788.89,
2024-04-15,SQ *295 GROVE ST 04/13 MOBILE PURCHASE Jersey City NJ,-4,784.89,
2024-04-15,AMAZON GROCE*QU7GV4VS3 04/13 PURCHASE SEATTLE WA,-121.61,663.28,
2024-04-15,AMZN Mktp US*438KP5BU3 04/13 PURCHASE Amzn.com/bill WA,-6.99,656.29,
2024-04-15,SQ *295 GROVE ST 04/14 MOBILE PURCHASE Jersey City NJ,-3,653.29,
2024-04-15,AMAZON TIPS*RN3MM9R13 04/14 PURCHASE SEATTLE WA,-5,648.29,
2024-04-15,Amazon Prime*P87QZ3W43 04/14 PURCHASE Amzn.com/bill WA,-7.99,640.3,
2024-04-16,SQ *295 GROVE ST 04/15 MOBILE PURCHASE Jersey City NJ,-5,635.3,
2024-04-16,3 DE ICE CREAM 04/15 MOBILE PURCHASE LONG IS CITY NY,-5.64,629.66,
2024-04-16,Duane Reade ST 04/15 MOBILE PURCHASE JERSEY CITY NJ,-2.06,627.6,
2024-04-17,TST* FRESH & CO - 729 B 04/15 MOBILE PURCHASE NEW YORK NY,-13.47,614.13,
2024-04-17,Muji - Cooper Square 04/15 MOBILE PURCHASE NEW YORK NY,-13.8,600.33,
2024-04-17,CANTEEN VENDING 04/16 MOBILE PURCHASE AVENEL NJ,-2.75,597.58,
2024-04-17,Subway 1859 04/17 MOBILE PURCHASE New York NY,-9.68,587.9,
2024-04-17,NYU HEALTH CTR 04/17 MOBILE PURCHASE NEW YORK NY,-20,567.9,
2024-04-18,SQ *295 GROVE ST 04/17 MOBILE PURCHASE Jersey City NJ,-4,563.9,
2024-04-18,UEP*SANSAN CHICKEN 04/17 MOBILE PURCHASE NEW YORK NY,-20.59,543.31,
2024-04-18,NYU HEALTH CTR 04/18 MOBILE PURCHASE NEW YORK NY,-10.61,532.7,
2024-04-19,TST* FRESH & CO - 729 B 04/17 MOBILE PURCHASE NEW YORK NY,-13.47,519.23,
2024-04-19,AMZN Mktp US*RA70R1GC3 04/18 PURCHASE Amzn.com/bill WA,-51.17,468.06,
2024-04-19,SQ *295 GROVE ST 04/18 MOBILE PURCHASE Jersey City NJ,-4,464.06,
2024-04-19,UEP*SANSAN CHICKEN 04/18 MOBILE PURCHASE NEW YORK NY,-15,449.06,
2024-04-19,Duane Reade ST 04/18 MOBILE PURCHASE JERSEY CITY NJ,-3.49,445.57,
2024-04-22,TST* FRESH & CO - 729 B 04/19 MOBILE PURCHASE NEW YORK NY,-0.06,445.51,
2024-04-22,SQ *295 GROVE ST 04/19 MOBILE PURCHASE Jersey City NJ,-4,441.51,
2024-04-22,SQ *295 GROVE ST 04/20 MOBILE PURCHASE Jersey City NJ,-4,437.51,
2024-04-22,AMAZON.COM*201RM4XJ3 04/20 PURCHASE SEATTLE WA,-9.11,428.4,
2024-04-22,AMAZON.COM*CS2N40O23 04/20 PURCHASE SEATTLE WA,-17.9,410.5,
2024-04-22,SQ *DOWNEAST LOBSTAH 04/20 MOBILE PURCHASE Jersey City NJ,-78.39,332.11,
2024-04-22,SQ *EEMAS CUISINE LLC 04/20 MOBILE PURCHASE Jersey City NJ,-8.8,323.31,
2024-04-22,PATH TAPP PAYGO CP 04/20 MOBILE PURCHASE NEW JERSEY NJ,-2.75,320.56,
2024-04-22,SQ *295 GROVE ST 04/21 MOBILE PURCHASE Jersey City NJ,-4,316.56,
2024-04-22,SQ *295 GROVE ST 04/21 MOBILE PURCHASE Jersey City NJ,-4.75,311.81,
2024-04-22,LinkedIn Pre P26008664 04/21 PURCHASE XXX-XX35653 CA,-39.99,271.82,
2024-04-22,Duane Reade ST 04/22 MOBILE PURCHASE JERSEY CITY NJ,-3.49,268.33,
2024-04-22,Monthly Maintenance Fee,-12,256.33,
2024-04-23,Online Banking transfer from SAV 0485 Confirmation# XXXXX70648,300,556.33,
2024-04-23,AMAZON GROCE*OL53R7S93 04/21 PURCHASE SEATTLE WA,-112.23,444.1,
2024-04-23,AMAZON.COM*V09D05X53 04/22 PURCHASE SEATTLE WA,-29.98,414.12,
2024-04-23,SALEM HALAL MEAT&GROCER 04/22 MOBILE PURCHASE JERSEY CITY NJ,-4.43,409.69,
